"","repID","Geneid","is_re","class","superf","fam","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"116","ERVB7_3-LTR_MM:ERVK:LTR","ERVB7_3-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB7_3-LTR_MM",0.0185094033867689,0.886181160224248,0.980088266236581,"Not Sig.",-0.0678113417587128,0.59960566052025,0.99994677260524,"Not Sig."
"117","ERVB7_4-LTR_MM:ERVK:LTR","ERVB7_4-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB7_4-LTR_MM",0.272962881321679,0.102107795892456,0.49099465232759,"Not Sig.",0.173287164851975,0.292413904719188,0.99994677260524,"Not Sig."
"118","ERVL-B4-int:ERVL:LTR","ERVL-B4-int:ERVL:LTR",TRUE,"LTR","LTR/ERVL","ERVL-B4-int",0.0656503273768612,0.480373925632801,0.841135460702726,"Not Sig.",-0.126908257054638,0.17528662041823,0.99994677260524,"Not Sig."
"119","ERVL-E-int:ERVL:LTR","ERVL-E-int:ERVL:LTR",TRUE,"LTR","LTR/ERVL","ERVL-E-int",-0.0252372660529184,0.747970973401795,0.944568990385365,"Not Sig.",-0.0642820656584333,0.413055561260302,0.99994677260524,"Not Sig."
"120","ERVL-int:ERVL:LTR","ERVL-int:ERVL:LTR",TRUE,"LTR","LTR/ERVL","ERVL-int",0.0141999115478721,0.879476120039953,0.978706328206596,"Not Sig.",-0.0503154586938539,0.592974280292242,0.99994677260524,"Not Sig."
"121","ETnERV-int:ERVK:LTR","ETnERV-int:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ETnERV-int",0.0547476129717461,0.716956894896731,0.934370248526041,"Not Sig.",0.301455919289881,0.0458028261665796,0.99994677260524,"Not Sig."
"122","ETnERV2-int:ERVK:LTR","ETnERV2-int:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ETnERV2-int",0.0208837978398674,0.804779887756801,0.959895103740309,"Not Sig.",0.0598154227117342,0.480111397440119,0.99994677260524,"Not Sig."
"123","ETnERV3-int:ERVK:LTR","ETnERV3-int:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ETnERV3-int",-0.00350737815900107,0.975953348337202,1,"Not Sig.",0.139267734309094,0.23139517416255,0.99994677260524,"Not Sig."
"124","Eulor1:DNA:DNA","Eulor1:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor1",-0.165646916150844,0.438021696991441,0.817846452233107,"Not Sig.",0.0684243305109946,0.752814677955423,0.99994677260524,"Not Sig."
"125","Eulor10:DNA:DNA","Eulor10:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor10",-0.298331764948395,0.301497838346714,0.73093962070962,"Not Sig.",0.296910974533983,0.293676352429213,0.99994677260524,"Not Sig."
"126","Eulor11:DNA:DNA","Eulor11:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor11",-0.0783583476667052,0.622357318493679,0.900197306412094,"Not Sig.",0.1460957990721,0.352603117696006,0.99994677260524,"Not Sig."
"127","Eulor12:DNA:DNA","Eulor12:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor12",0.286965145043167,0.255751533780098,0.69055392333163,"Not Sig.",0.137870271681782,0.581703853324688,0.99994677260524,"Not Sig."
"128","Eulor2A:DNA:DNA","Eulor2A:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor2A",-0.0481014941879961,0.844606638751069,0.970714126162035,"Not Sig.",0.068332034597303,0.774972214291111,0.99994677260524,"Not Sig."
"129","Eulor2B:DNA:DNA","Eulor2B:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor2B",0.481693239855672,0.0399852283859446,0.334547084983968,"Not Sig.",0.0660615975644898,0.775898070423223,0.99994677260524,"Not Sig."
"130","Eulor2C:DNA:DNA","Eulor2C:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor2C",0.147255720894247,0.651327411799712,0.910263907168319,"Not Sig.",0.0204244570944213,0.949364589055258,0.99994677260524,"Not Sig."
"131","Eulor3:DNA:DNA","Eulor3:DNA:DNA",TRUE,"DNA","DNA/DNA","Eulor3",-0.567235081128082,0.0500476249439063,0.36638718356599,"Not Sig.",0.144044103580729,0.613435889335798,0.99994677260524,"Not Sig."
"132","Eulor4:Eulor4:Unknown","Eulor4:Eulor4:Unknown",TRUE,"Unknown","Unknown/Eulor4","Eulor4",-0.252260088829159,0.486873926814066,0.843757701048209,"Not Sig.",0.220379330516944,0.542146533313634,0.99994677260524,"Not Sig."
"133","Eulor5A:Crypton-A:DNA","Eulor5A:Crypton-A:DNA",TRUE,"DNA","DNA/Crypton-A","Eulor5A",0.273176049732035,0.348761342286865,0.764953272285898,"Not Sig.",-0.103166841551067,0.724031886659089,0.99994677260524,"Not Sig."
"134","Eulor5B:Crypton-A:DNA","Eulor5B:Crypton-A:DNA",TRUE,"DNA","DNA/Crypton-A","Eulor5B",-0.430652668460191,0.193009556515361,0.621286198906995,"Not Sig.",-0.231188796628097,0.48280938166177,0.99994677260524,"Not Sig."
"135","Eulor5B:DNA:DNA?","Eulor5B:DNA:DNA?",TRUE,"DNA?","DNA?/DNA","Eulor5B",5.3443724163205,0.0126341508590304,0.196676320495465,"Not Sig.",-1.79008422888232,0.187887037648112,0.99994677260524,"Not Sig."
"136","Eulor6A:Crypton:DNA","Eulor6A:Crypton:DNA",TRUE,"DNA","DNA/Crypton","Eulor6A",0.412949390020922,0.15471383934748,0.576244593318879,"Not Sig.",0.307643520590662,0.285549191846104,0.99994677260524,"Not Sig."
"137","Eulor6A:DNA:DNA?","Eulor6A:DNA:DNA?",TRUE,"DNA?","DNA?/DNA","Eulor6A",2.36291518282773,0.0184002277790154,0.23546376443732,"Not Sig.",-0.292851884616735,0.657537374601711,0.99994677260524,"Not Sig."
"138","Eulor6B:Crypton:DNA","Eulor6B:Crypton:DNA",TRUE,"DNA","DNA/Crypton","Eulor6B",-0.307875924037035,0.266751473365565,0.700604863071688,"Not Sig.",-0.0987059337604972,0.721318598117789,0.99994677260524,"Not Sig."
"139","Eulor6C:Crypton:DNA","Eulor6C:Crypton:DNA",TRUE,"DNA","DNA/Crypton","Eulor6C",0.0933938903910764,0.892238995099562,0.981375893117918,"Not Sig.",0.37475330237294,0.609024164583808,0.99994677260524,"Not Sig."
